Ethnicity	EducationLevel	GeoRegion	IncomeGroup	Electricity	GobarGas	Kerosene	LPGas	Others	Wood
Rai-Limbu	Primary	Hilly	30000-50000	0	1	0	13	0	59
Dalit	University	Hilly	30000-50000	0	0	0	9	0	8
Tamang	Secondary	Himalayan	30000-50000	0	2	0	176	0	324
Gurung-Magar	Secondary	Hilly	10000-20000	0	54	1	701	0	1835
Newar	Primary	Himalayan	50000-ABOVE	0	1	0	57	0	52
Madhesi	Illiterate	Himalayan	50000-ABOVE	0	0	0	0	0	3
Newar	Primary	Himalayan	10000-20000	1	11	2	526	2	1983
Tamang	Secondary	Himalayan	0-10000	1	3	1	221	5	3645
Newar	Primary	Hilly	10000-20000	1	205	0	1109	1	2596
Brahman	Secondary	Himalayan	50000-ABOVE	1	1	1	124	1	115
Muslim-Others	Primary	Hilly	30000-50000	0	1	0	21	0	19
Muslim-Others	Illiterate	Hilly	30000-50000	0	1	0	8	0	21
Madhesi	Illiterate	Himalayan	30000-50000	0	0	0	0	0	12
Rai-Limbu	Secondary	Hilly	20000-30000	0	5	0	72	0	166
Madhesi	University	Himalayan	30000-50000	0	0	0	2	0	2
Muslim-Others	NonFormal-Other	Hilly	20000-30000	0	2	0	25	0	62
Newar	Illiterate	Hilly	50000-ABOVE	0	5	0	59	0	64
Madhesi	Secondary	Himalayan	20000-30000	0	0	0	13	0	22
Gurung-Magar	Primary	Himalayan	50000-ABOVE	0	1	0	35	0	89
Tamang	Illiterate	Himalayan	50000-ABOVE	0	0	0	44	1	202
Chepang-Thami	NonFormal-Other	Himalayan	30000-50000	0	0	0	2	0	13
Tamang	Illiterate	Hilly	50000-ABOVE	0	8	0	27	0	193
Gurung-Magar	Primary	Himalayan	20000-30000	0	4	0	108	0	741
Newar	Primary	Himalayan	10000-20000	1	11	2	526	2	1983
Newar	Primary	Himalayan	50000-ABOVE	0	1	0	57	0	52
Chettri	NonFormal-Other	Himalayan	0-10000	1	13	2	170	2	7136
Rai-Limbu	Primary	Hilly	50000-ABOVE	0	0	0	7	0	22
Gurung-Magar	Primary	Himalayan	20000-30000	0	4	0	108	0	741
Chettri	Primary	Himalayan	20000-30000	2	5	2	296	1	1337
Chettri	NonFormal-Other	Hilly	20000-30000	0	47	0	420	0	944
Newar	NonFormal-Other	Hilly	50000-ABOVE	0	2	0	52	0	57
Rai-Limbu	NonFormal-Other	Hilly	20000-30000	0	5	0	38	0	221
Tamang	Primary	Hilly	30000-50000	0	10	0	122	0	419
Madhesi	Illiterate	Himalayan	20000-30000	0	0	0	2	0	21
Tamang	Secondary	Himalayan	0-10000	1	3	1	221	5	3645
Gurung-Magar	Primary	Himalayan	50000-ABOVE	0	1	0	35	0	89
Tamang	University	Himalayan	0-10000	0	0	0	13	0	95
Brahman	University	Himalayan	20000-30000	3	4	0	313	2	586
Gurung-Magar	Secondary	Himalayan	30000-50000	0	2	0	46	0	163
Gurung-Magar	Primary	Himalayan	50000-ABOVE	0	1	0	35	0	89
Brahman	Secondary	Himalayan	0-10000	0	47	2	234	5	3624
Gurung-Magar	Primary	Hilly	10000-20000	0	107	2	641	3	3076
Madhesi	University	Himalayan	30000-50000	0	0	0	2	0	2
Chettri	NonFormal-Other	Himalayan	30000-50000	0	2	0	67	0	261
Rai-Limbu	NonFormal-Other	Hilly	20000-30000	0	5	0	38	0	221
Chepang-Thami	NonFormal-Other	Hilly	10000-20000	0	0	0	5	0	150
Newar	Primary	Himalayan	20000-30000	1	9	2	346	0	617
Madhesi	NonFormal-Other	Himalayan	50000-ABOVE	0	0	0	1	0	1
Madhesi	NonFormal-Other	Himalayan	0-10000	0	0	0	0	0	109
Rai-Limbu	University	Himalayan	50000-ABOVE	0	0	0	3	0	6
Chepang-Thami	Illiterate	Himalayan	20000-30000	0	0	0	2	0	89
Rai-Limbu	University	Himalayan	0-10000	0	0	0	3	0	34
Muslim-Others	University	Hilly	0-10000	0	0	0	7	0	10
Chettri	Primary	Hilly	50000-ABOVE	0	5	0	75	0	84
Dalit	Secondary	Hilly	0-10000	2	26	0	147	1	2067
Muslim-Others	NonFormal-Other	Hilly	0-10000	0	4	0	32	0	665
Newar	University	Hilly	30000-50000	0	4	0	137	0	35
Chepang-Thami	Illiterate	Himalayan	0-10000	0	1	1	3	1	1737
Brahman	NonFormal-Other	Hilly	30000-50000	0	40	0	206	1	321
Gurung-Magar	Primary	Hilly	10000-20000	0	107	2	641	3	3076
Tamang	Illiterate	Hilly	10000-20000	1	95	1	760	1	10102
Newar	University	Himalayan	20000-30000	2	1	0	130	0	94
Newar	Primary	Himalayan	20000-30000	1	9	2	346	0	617
Gurung-Magar	Illiterate	Himalayan	20000-30000	0	2	0	55	0	1025
Brahman	University	Himalayan	0-10000	0	3	0	30	2	235
Madhesi	Secondary	Hilly	0-10000	0	0	0	75	0	98
Madhesi	Secondary	Himalayan	20000-30000	0	0	0	13	0	22
Chettri	NonFormal-Other	Hilly	10000-20000	2	107	0	860	0	4039
Gurung-Magar	Primary	Hilly	30000-50000	0	12	0	76	0	181
Muslim-Others	University	Hilly	30000-50000	0	2	0	12	0	11
Dalit	Primary	Himalayan	50000-ABOVE	0	0	0	10	0	17
Madhesi	University	Hilly	30000-50000	0	0	0	15	0	6
Muslim-Others	University	Himalayan	10000-20000	0	0	0	4	0	29
Chettri	Secondary	Hilly	10000-20000	6	189	2	2421	10	5257
Muslim-Others	Primary	Hilly	10000-20000	0	1	0	115	0	368
Tamang	Primary	Himalayan	20000-30000	1	1	2	343	0	1594
Chepang-Thami	University	Hilly	30000-50000	0	0	0	1	0	0
Tamang	Secondary	Himalayan	0-10000	1	3	1	221	5	3645
Muslim-Others	Primary	Himalayan	50000-ABOVE	0	0	0	2	0	8
Madhesi	NonFormal-Other	Himalayan	50000-ABOVE	0	0	0	1	0	1
Chettri	NonFormal-Other	Hilly	30000-50000	0	10	0	103	0	233
Muslim-Others	Secondary	Himalayan	50000-ABOVE	0	0	0	5	0	3
Rai-Limbu	NonFormal-Other	Himalayan	50000-ABOVE	0	1	0	32	0	42
Gurung-Magar	Primary	Himalayan	20000-30000	0	4	0	108	0	741
Muslim-Others	Primary	Hilly	30000-50000	0	1	0	21	0	19
Dalit	Primary	Himalayan	50000-ABOVE	0	0	0	10	0	17
Dalit	Illiterate	Himalayan	20000-30000	0	4	1	42	0	554
Newar	NonFormal-Other	Himalayan	0-10000	1	9	0	106	0	2274
Rai-Limbu	NonFormal-Other	Hilly	50000-ABOVE	0	0	0	4	0	23
Gurung-Magar	Primary	Hilly	50000-ABOVE	0	1	0	28	0	53
Madhesi	Primary	Hilly	50000-ABOVE	0	0	0	6	0	5
Brahman	Illiterate	Hilly	30000-50000	0	27	0	109	0	355
Dalit	Primary	Hilly	20000-30000	0	24	0	228	1	807
Madhesi	Illiterate	Himalayan	0-10000	0	0	0	6	0	240
Dalit	Illiterate	Himalayan	30000-50000	0	0	0	8	0	119
Gurung-Magar	Secondary	Hilly	50000-ABOVE	0	1	0	65	0	33
Gurung-Magar	Illiterate	Himalayan	0-10000	1	7	0	68	1	8923
Tamang	Secondary	Hilly	50000-ABOVE	0	2	0	66	0	72
Muslim-Others	Primary	Hilly	20000-30000	0	0	0	52	0	80
Tamang	NonFormal-Other	Himalayan	50000-ABOVE	0	1	0	36	0	128
Rai-Limbu	Primary	Himalayan	20000-30000	0	0	0	73	2	319
Brahman	NonFormal-Other	Himalayan	50000-ABOVE	0	0	0	35	0	94
Dalit	Illiterate	Himalayan	0-10000	1	74	2	105	3	8369
Brahman	NonFormal-Other	Hilly	10000-20000	1	235	0	1064	0	3588
Muslim-Others	University	Himalayan	20000-30000	0	1	1	4	0	11
Brahman	Primary	Himalayan	30000-50000	0	4	0	63	1	153
Madhesi	University	Hilly	0-10000	0	0	0	11	0	9
Madhesi	NonFormal-Other	Himalayan	0-10000	0	0	0	0	0	109
Tamang	Secondary	Hilly	30000-50000	0	9	0	164	1	232
Newar	Illiterate	Himalayan	20000-30000	0	5	1	116	0	555
Newar	NonFormal-Other	Himalayan	30000-50000	0	1	0	61	0	134
Madhesi	University	Himalayan	10000-20000	1	1	0	5	0	5
Chepang-Thami	Secondary	Himalayan	20000-30000	0	0	0	11	0	96
Gurung-Magar	Illiterate	Himalayan	30000-50000	0	1	0	27	0	347
Rai-Limbu	Secondary	Himalayan	30000-50000	0	0	0	39	0	51
Dalit	NonFormal-Other	Hilly	50000-ABOVE	0	1	0	12	0	29
Gurung-Magar	Primary	Hilly	50000-ABOVE	0	1	0	28	0	53
Madhesi	University	Hilly	0-10000	0	0	0	11	0	9
Muslim-Others	Primary	Himalayan	20000-30000	0	0	0	14	0	109
Newar	Secondary	Himalayan	0-10000	1	11	0	215	2	1312
Rai-Limbu	NonFormal-Other	Himalayan	20000-30000	0	1	0	59	1	335
Brahman	Secondary	Hilly	30000-50000	0	75	0	743	2	555
Rai-Limbu	Illiterate	Himalayan	30000-50000	0	0	0	6	0	92
Muslim-Others	Secondary	Himalayan	30000-50000	0	1	0	9	0	22
Madhesi	Secondary	Himalayan	20000-30000	0	0	0	13	0	22
Muslim-Others	Secondary	Himalayan	10000-20000	0	1	0	57	0	304
Dalit	University	Hilly	10000-20000	0	1	0	24	0	72
Chettri	University	Hilly	20000-30000	0	7	0	272	1	212
Chepang-Thami	Primary	Himalayan	0-10000	0	0	0	5	0	929
Tamang	NonFormal-Other	Hilly	50000-ABOVE	0	6	0	43	0	122
Brahman	NonFormal-Other	Hilly	50000-ABOVE	0	13	0	86	0	112
Chettri	NonFormal-Other	Himalayan	0-10000	1	13	2	170	2	7136
Rai-Limbu	Primary	Hilly	0-10000	0	36	1	44	2	2330
Tamang	University	Hilly	50000-ABOVE	0	0	0	8	0	8
Tamang	Secondary	Himalayan	10000-20000	1	9	1	614	2	3594
Dalit	Secondary	Himalayan	30000-50000	0	0	0	26	0	56
Rai-Limbu	Illiterate	Hilly	30000-50000	0	2	0	9	0	60
Muslim-Others	University	Hilly	0-10000	0	0	0	7	0	10
Madhesi	Illiterate	Himalayan	50000-ABOVE	0	0	0	0	0	3
Tamang	NonFormal-Other	Himalayan	30000-50000	0	3	0	95	0	407
Tamang	Illiterate	Hilly	50000-ABOVE	0	8	0	27	0	193
Rai-Limbu	University	Hilly	20000-30000	0	0	0	11	0	24
Brahman	University	Hilly	20000-30000	1	41	2	781	3	583
Brahman	Primary	Himalayan	30000-50000	0	4	0	63	1	153
Chettri	University	Hilly	0-10000	0	3	0	36	1	190
Rai-Limbu	University	Himalayan	30000-50000	0	0	0	7	0	8
Rai-Limbu	Secondary	Hilly	30000-50000	0	0	0	21	1	36
Chettri	Illiterate	Himalayan	20000-30000	0	2	0	109	1	996
Madhesi	Primary	Himalayan	10000-20000	0	0	0	9	0	61
Tamang	Secondary	Himalayan	30000-50000	0	2	0	176	0	324
Gurung-Magar	University	Hilly	20000-30000	0	0	0	39	0	55
Brahman	Secondary	Himalayan	20000-30000	1	17	2	626	2	1575
Dalit	Illiterate	Himalayan	0-10000	1	74	2	105	3	8369
Madhesi	University	Hilly	20000-30000	0	0	0	68	4	17
Newar	Illiterate	Himalayan	50000-ABOVE	0	0	0	19	0	50
Muslim-Others	Secondary	Hilly	50000-ABOVE	0	0	0	17	0	5
Dalit	NonFormal-Other	Himalayan	20000-30000	0	0	1	40	0	397
Madhesi	Secondary	Himalayan	10000-20000	2	0	0	16	0	41
Gurung-Magar	NonFormal-Other	Hilly	50000-ABOVE	0	1	0	19	0	56
Madhesi	Secondary	Himalayan	20000-30000	0	0	0	13	0	22
Madhesi	University	Hilly	50000-ABOVE	0	0	0	15	0	0
Chettri	Primary	Hilly	0-10000	4	69	0	382	4	7761
Rai-Limbu	University	Hilly	30000-50000	0	1	0	3	1	4
Newar	University	Himalayan	10000-20000	1	2	0	97	0	151
Madhesi	Secondary	Hilly	50000-ABOVE	0	0	0	18	0	5
Rai-Limbu	Primary	Hilly	50000-ABOVE	0	0	0	7	0	22
