Ethnicity	EducationLevel	GeoRegion	IncomeGroup	Electricity	GobarGas	Kerosene	LPGas	Others	Wood
Muslim-Others	Secondary	Himalayan	50000-ABOVE	0	0	0	5	0	3
Dalit	Primary	Himalayan	20000-30000	0	3	1	120	0	539
Madhesi	Illiterate	Hilly	0-10000	0	0	0	27	2	614
Dalit	Secondary	Himalayan	50000-ABOVE	0	0	0	5	1	14
Gurung-Magar	NonFormal-Other	Himalayan	20000-30000	1	3	0	66	0	672
Gurung-Magar	NonFormal-Other	Hilly	30000-50000	0	7	0	67	0	199
Rai-Limbu	Secondary	Hilly	20000-30000	0	5	0	72	0	166
Rai-Limbu	University	Hilly	10000-20000	0	2	0	15	0	50
Dalit	Secondary	Himalayan	50000-ABOVE	0	0	0	5	1	14
Gurung-Magar	Primary	Hilly	20000-30000	0	34	0	319	2	753
Muslim-Others	Primary	Himalayan	20000-30000	0	0	0	14	0	109
Chepang-Thami	Illiterate	Hilly	10000-20000	0	0	0	11	0	296
Chepang-Thami	Illiterate	Hilly	50000-ABOVE	0	0	0	0	0	2
Brahman	Illiterate	Hilly	20000-30000	1	95	0	336	0	1038
Brahman	University	Hilly	20000-30000	1	41	2	781	3	583
Chepang-Thami	Illiterate	Himalayan	20000-30000	0	0	0	2	0	89
Muslim-Others	Secondary	Hilly	50000-ABOVE	0	0	0	17	0	5
Madhesi	Secondary	Hilly	10000-20000	0	0	0	229	3	117
Gurung-Magar	University	Himalayan	20000-30000	0	0	0	5	0	38
Muslim-Others	Illiterate	Hilly	50000-ABOVE	0	0	0	3	0	10
Tamang	Illiterate	Hilly	50000-ABOVE	0	8	0	27	0	193
Tamang	Illiterate	Himalayan	0-10000	3	17	4	266	22	30511
Chepang-Thami	Illiterate	Himalayan	10000-20000	0	0	0	3	0	388
Brahman	Primary	Hilly	30000-50000	0	35	1	199	0	292
Rai-Limbu	NonFormal-Other	Himalayan	10000-20000	0	3	0	77	1	1073
Newar	Primary	Hilly	10000-20000	1	205	0	1109	1	2596
Brahman	University	Himalayan	50000-ABOVE	0	0	0	61	0	49
Madhesi	Primary	Hilly	10000-20000	0	1	0	124	0	97
Dalit	University	Hilly	0-10000	0	1	0	11	0	33
Gurung-Magar	University	Himalayan	20000-30000	0	0	0	5	0	38
Dalit	Secondary	Hilly	0-10000	2	26	0	147	1	2067
Chettri	University	Himalayan	0-10000	0	1	0	32	0	183
Chettri	Illiterate	Hilly	30000-50000	0	5	0	76	0	245
Chepang-Thami	Primary	Himalayan	30000-50000	0	0	0	0	0	8
Gurung-Magar	NonFormal-Other	Hilly	20000-30000	0	28	0	227	0	910
Tamang	Illiterate	Himalayan	0-10000	3	17	4	266	22	30511
Rai-Limbu	Illiterate	Himalayan	0-10000	0	10	1	33	2	4371
Chettri	University	Himalayan	20000-30000	2	0	0	155	0	358
Muslim-Others	Secondary	Himalayan	20000-30000	1	0	0	28	0	85
Chettri	Illiterate	Himalayan	20000-30000	0	2	0	109	1	996
Chettri	NonFormal-Other	Himalayan	50000-ABOVE	1	1	0	33	0	114
Dalit	Illiterate	Himalayan	10000-20000	1	13	3	106	0	2371
Brahman	University	Himalayan	50000-ABOVE	0	0	0	61	0	49
Gurung-Magar	Secondary	Himalayan	20000-30000	0	3	0	119	1	504
Chettri	NonFormal-Other	Himalayan	0-10000	1	13	2	170	2	7136
Tamang	Primary	Hilly	10000-20000	4	79	1	1196	7	7647
Muslim-Others	NonFormal-Other	Himalayan	20000-30000	0	0	0	13	1	88
Dalit	Secondary	Hilly	10000-20000	1	29	1	343	3	1378
Chepang-Thami	NonFormal-Other	Himalayan	30000-50000	0	0	0	2	0	13
Dalit	NonFormal-Other	Hilly	20000-30000	0	11	1	145	0	746
Chettri	Primary	Himalayan	0-10000	1	20	3	257	3	6585
Rai-Limbu	Illiterate	Himalayan	0-10000	0	10	1	33	2	4371
Madhesi	Illiterate	Hilly	50000-ABOVE	0	0	0	4	0	0
Dalit	Secondary	Himalayan	0-10000	0	24	1	43	2	991
Muslim-Others	NonFormal-Other	Himalayan	30000-50000	0	0	0	5	0	27
Madhesi	Illiterate	Himalayan	20000-30000	0	0	0	2	0	21
Chettri	University	Himalayan	0-10000	0	1	0	32	0	183
Rai-Limbu	University	Hilly	0-10000	0	1	0	7	0	28
Madhesi	University	Himalayan	50000-ABOVE	0	0	0	1	0	0
Gurung-Magar	Illiterate	Hilly	50000-ABOVE	0	1	0	19	1	79
Rai-Limbu	Primary	Hilly	20000-30000	0	3	0	48	0	201
Tamang	University	Hilly	30000-50000	0	0	0	36	0	27
Tamang	Primary	Hilly	50000-ABOVE	0	4	0	51	0	110
Dalit	Secondary	Hilly	20000-30000	0	10	1	179	1	348
Brahman	NonFormal-Other	Hilly	30000-50000	0	40	0	206	1	321
Madhesi	University	Hilly	30000-50000	0	0	0	15	0	6
Rai-Limbu	Illiterate	Himalayan	10000-20000	0	6	0	63	0	1494
Chepang-Thami	University	Hilly	20000-30000	0	0	0	0	0	1
Tamang	NonFormal-Other	Hilly	0-10000	2	107	6	291	3	13880
Madhesi	Primary	Hilly	0-10000	0	5	1	41	1	157
Dalit	NonFormal-Other	Himalayan	0-10000	0	18	1	38	1	3447
Brahman	Illiterate	Himalayan	20000-30000	0	6	0	93	0	718
Dalit	Primary	Hilly	10000-20000	0	113	3	557	0	3803
Rai-Limbu	Illiterate	Himalayan	50000-ABOVE	0	1	0	8	0	40
Dalit	Illiterate	Hilly	10000-20000	0	98	2	279	1	4195
Rai-Limbu	University	Himalayan	20000-30000	0	0	0	15	0	37
Gurung-Magar	Primary	Himalayan	30000-50000	0	0	0	57	1	245
Newar	NonFormal-Other	Hilly	50000-ABOVE	0	2	0	52	0	57
