Ethnicity	EducationLevel	GeoRegion	IncomeGroup	Electricity	GobarGas	Kerosene	LPGas	Others	Wood
Rai-Limbu	Illiterate	Hilly	0-10000	0	23	2	51	4	3999
Dalit	University	Hilly	30000-50000	0	0	0	9	0	8
Chepang-Thami	Illiterate	Himalayan	50000-ABOVE	0	0	0	0	0	10
Muslim-Others	University	Himalayan	0-10000	0	0	0	2	0	7
Gurung-Magar	Secondary	Hilly	10000-20000	0	54	1	701	0	1835
Brahman	Illiterate	Himalayan	50000-ABOVE	0	1	0	23	0	94
Brahman	NonFormal-Other	Hilly	30000-50000	0	40	0	206	1	321
Newar	NonFormal-Other	Hilly	20000-30000	0	54	1	534	0	593
Dalit	University	Hilly	0-10000	0	1	0	11	0	33
Rai-Limbu	NonFormal-Other	Hilly	0-10000	0	34	0	34	3	2507
Dalit	Primary	Himalayan	10000-20000	1	17	1	247	1	2602
Gurung-Magar	Secondary	Himalayan	20000-30000	0	3	0	119	1	504
Muslim-Others	Illiterate	Hilly	0-10000	0	7	0	50	0	1272
Newar	NonFormal-Other	Himalayan	20000-30000	1	7	0	172	1	490
Chettri	Primary	Hilly	10000-20000	1	123	3	1141	1	4559
Tamang	Secondary	Hilly	30000-50000	0	9	0	164	1	232
Gurung-Magar	Illiterate	Himalayan	50000-ABOVE	0	0	0	25	0	106
Dalit	Illiterate	Himalayan	10000-20000	1	13	3	106	0	2371
Muslim-Others	NonFormal-Other	Himalayan	20000-30000	0	0	0	13	1	88
Madhesi	University	Hilly	20000-30000	0	0	0	68	4	17
Tamang	University	Himalayan	50000-ABOVE	0	0	0	12	0	11
Rai-Limbu	University	Hilly	50000-ABOVE	0	0	0	1	0	3
Madhesi	University	Hilly	10000-20000	1	0	0	48	1	32
Dalit	NonFormal-Other	Hilly	30000-50000	0	0	0	25	0	125
Chettri	Illiterate	Himalayan	50000-ABOVE	0	0	0	23	0	130
Brahman	NonFormal-Other	Hilly	0-10000	2	205	3	480	1	5923
Chettri	Secondary	Himalayan	10000-20000	5	13	1	1303	9	6510
Newar	Illiterate	Hilly	30000-50000	0	16	0	117	1	144
Chepang-Thami	Illiterate	Hilly	30000-50000	0	0	0	1	0	10
Chepang-Thami	Secondary	Himalayan	10000-20000	0	1	0	13	0	333
Muslim-Others	Secondary	Himalayan	30000-50000	0	1	0	9	0	22
Tamang	University	Himalayan	30000-50000	0	0	0	29	0	33
Newar	Secondary	Himalayan	0-10000	1	11	0	215	2	1312
Gurung-Magar	Primary	Hilly	20000-30000	0	34	0	319	2	753
Brahman	Secondary	Hilly	30000-50000	0	75	0	743	2	555
Chettri	Primary	Himalayan	10000-20000	1	23	1	639	1	5112
Rai-Limbu	NonFormal-Other	Himalayan	0-10000	0	1	2	46	1	2091
Dalit	Illiterate	Himalayan	0-10000	1	74	2	105	3	8369
Madhesi	Primary	Hilly	20000-30000	0	2	0	53	0	16
Chepang-Thami	Illiterate	Himalayan	0-10000	0	1	1	3	1	1737
Brahman	Primary	Hilly	50000-ABOVE	0	16	0	86	1	78
Chepang-Thami	University	Hilly	20000-30000	0	0	0	0	0	1
Rai-Limbu	Secondary	Himalayan	30000-50000	0	0	0	39	0	51
Rai-Limbu	Primary	Himalayan	20000-30000	0	0	0	73	2	319
Brahman	Illiterate	Hilly	30000-50000	0	27	0	109	0	355
Chepang-Thami	Primary	Hilly	0-10000	0	3	0	19	3	1624
Newar	Secondary	Himalayan	10000-20000	1	13	2	1030	6	1855
Chepang-Thami	Secondary	Hilly	20000-30000	0	0	0	5	0	11
Gurung-Magar	Primary	Himalayan	50000-ABOVE	0	1	0	35	0	89
Muslim-Others	Secondary	Himalayan	20000-30000	1	0	0	28	0	85
Muslim-Others	Primary	Hilly	50000-ABOVE	0	0	0	6	0	5
Chepang-Thami	Primary	Hilly	0-10000	0	3	0	19	3	1624
Madhesi	NonFormal-Other	Hilly	30000-50000	0	0	0	8	0	4
Gurung-Magar	Primary	Himalayan	20000-30000	0	4	0	108	0	741
Madhesi	NonFormal-Other	Himalayan	30000-50000	0	0	0	0	0	5
Chepang-Thami	Primary	Hilly	20000-30000	0	2	0	2	0	31
Gurung-Magar	Illiterate	Himalayan	20000-30000	0	2	0	55	0	1025
Chepang-Thami	Illiterate	Himalayan	20000-30000	0	0	0	2	0	89
Rai-Limbu	Illiterate	Himalayan	50000-ABOVE	0	1	0	8	0	40
Newar	Primary	Himalayan	0-10000	2	12	1	157	3	2211
Dalit	Primary	Himalayan	10000-20000	1	17	1	247	1	2602
Gurung-Magar	Illiterate	Hilly	50000-ABOVE	0	1	0	19	1	79
Dalit	Secondary	Himalayan	30000-50000	0	0	0	26	0	56
Chepang-Thami	Primary	Himalayan	20000-30000	0	0	0	8	1	176
Brahman	Illiterate	Hilly	30000-50000	0	27	0	109	0	355
Brahman	Illiterate	Himalayan	30000-50000	0	1	0	38	0	212
Dalit	University	Hilly	20000-30000	0	1	0	20	0	22
Newar	NonFormal-Other	Hilly	10000-20000	1	180	0	782	0	2284
Newar	Secondary	Himalayan	20000-30000	3	2	1	618	2	656
Tamang	Primary	Himalayan	30000-50000	0	1	0	125	0	382
Chettri	Illiterate	Himalayan	0-10000	2	20	2	183	2	11249
Rai-Limbu	Primary	Hilly	50000-ABOVE	0	0	0	7	0	22
Dalit	Secondary	Himalayan	20000-30000	0	2	0	53	0	245
Dalit	NonFormal-Other	Hilly	0-10000	0	53	1	167	5	7186
Chepang-Thami	Illiterate	Hilly	10000-20000	0	0	0	11	0	296
Dalit	University	Himalayan	0-10000	0	0	0	1	0	16
Brahman	Illiterate	Hilly	20000-30000	1	95	0	336	0	1038
Brahman	Secondary	Himalayan	0-10000	0	47	2	234	5	3624
Tamang	Illiterate	Hilly	30000-50000	1	17	0	74	0	686
Gurung-Magar	Primary	Himalayan	10000-20000	0	0	0	157	0	2360
Tamang	Illiterate	Hilly	0-10000	5	134	4	501	25	34857
Muslim-Others	University	Hilly	0-10000	0	0	0	7	0	10
Chettri	Illiterate	Himalayan	10000-20000	1	9	0	223	2	3519
Gurung-Magar	Illiterate	Himalayan	30000-50000	0	1	0	27	0	347
Brahman	NonFormal-Other	Himalayan	20000-30000	1	11	0	163	1	888
Tamang	Illiterate	Himalayan	30000-50000	1	1	0	75	0	710
Chepang-Thami	Illiterate	Hilly	20000-30000	0	0	0	0	0	43
Chettri	Primary	Hilly	20000-30000	1	33	0	562	0	1035
Madhesi	Illiterate	Hilly	20000-30000	0	0	0	34	0	40
Gurung-Magar	Illiterate	Himalayan	50000-ABOVE	0	0	0	25	0	106
Chepang-Thami	Primary	Hilly	30000-50000	0	0	0	2	0	7
Chettri	University	Himalayan	0-10000	0	1	0	32	0	183
Madhesi	Secondary	Hilly	30000-50000	1	1	1	51	0	8
Chettri	NonFormal-Other	Hilly	50000-ABOVE	0	2	0	47	0	71
Rai-Limbu	Secondary	Himalayan	30000-50000	0	0	0	39	0	51
Chepang-Thami	Secondary	Hilly	30000-50000	0	0	0	0	0	3
Chettri	Illiterate	Himalayan	0-10000	2	20	2	183	2	11249
Madhesi	NonFormal-Other	Himalayan	0-10000	0	0	0	0	0	109
Gurung-Magar	Secondary	Himalayan	30000-50000	0	2	0	46	0	163
Chepang-Thami	Illiterate	Hilly	50000-ABOVE	0	0	0	0	0	2
Chettri	University	Himalayan	0-10000	0	1	0	32	0	183
Chettri	University	Himalayan	30000-50000	0	2	0	94	0	121
Chettri	Primary	Himalayan	0-10000	1	20	3	257	3	6585
Madhesi	NonFormal-Other	Hilly	0-10000	0	0	0	19	0	148
Chettri	NonFormal-Other	Himalayan	50000-ABOVE	1	1	0	33	0	114
Tamang	University	Hilly	20000-30000	0	5	0	57	0	82
Dalit	Illiterate	Himalayan	20000-30000	0	4	1	42	0	554
Muslim-Others	University	Himalayan	10000-20000	0	0	0	4	0	29
Tamang	Secondary	Himalayan	0-10000	1	3	1	221	5	3645
Tamang	Illiterate	Hilly	20000-30000	0	24	1	260	0	2213
Muslim-Others	Primary	Himalayan	0-10000	0	3	0	18	0	590
Madhesi	Primary	Himalayan	30000-50000	0	0	0	0	0	6
Rai-Limbu	Primary	Himalayan	0-10000	0	3	0	49	1	1936
Chettri	NonFormal-Other	Hilly	0-10000	2	79	4	333	2	7661
Madhesi	University	Hilly	20000-30000	0	0	0	68	4	17
Gurung-Magar	Illiterate	Hilly	10000-20000	1	86	3	272	1	3162
Chepang-Thami	Primary	Hilly	20000-30000	0	2	0	2	0	31
Rai-Limbu	Illiterate	Hilly	0-10000	0	23	2	51	4	3999
Tamang	NonFormal-Other	Himalayan	20000-30000	1	5	1	215	0	1794
Brahman	University	Hilly	10000-20000	3	43	0	662	3	974
Newar	University	Hilly	0-10000	1	2	0	30	0	71
Tamang	Primary	Hilly	30000-50000	0	10	0	122	0	419
Newar	Primary	Hilly	20000-30000	0	73	0	611	0	574
Rai-Limbu	Primary	Himalayan	30000-50000	0	1	0	40	1	85
Dalit	NonFormal-Other	Himalayan	10000-20000	0	12	1	102	0	1723
Chepang-Thami	University	Hilly	50000-ABOVE	0	0	0	0	0	0
Muslim-Others	University	Himalayan	30000-50000	0	0	0	2	0	3
Chettri	NonFormal-Other	Hilly	10000-20000	2	107	0	860	0	4039
Newar	Illiterate	Himalayan	50000-ABOVE	0	0	0	19	0	50
Gurung-Magar	NonFormal-Other	Himalayan	0-10000	2	6	2	52	3	2819
Chettri	Secondary	Hilly	0-10000	2	70	1	602	7	5492
Muslim-Others	Illiterate	Himalayan	0-10000	0	5	1	28	0	1470
Gurung-Magar	Primary	Himalayan	10000-20000	0	0	0	157	0	2360
Chepang-Thami	Secondary	Himalayan	0-10000	0	0	0	1	0	216
Newar	Secondary	Hilly	50000-ABOVE	0	1	0	261	1	66
Rai-Limbu	NonFormal-Other	Himalayan	10000-20000	0	3	0	77	1	1073
Rai-Limbu	NonFormal-Other	Himalayan	10000-20000	0	3	0	77	1	1073
Muslim-Others	Secondary	Himalayan	30000-50000	0	1	0	9	0	22
Tamang	Illiterate	Himalayan	50000-ABOVE	0	0	0	44	1	202
Rai-Limbu	Illiterate	Hilly	30000-50000	0	2	0	9	0	60
Chepang-Thami	Primary	Hilly	30000-50000	0	0	0	2	0	7
Brahman	Primary	Hilly	10000-20000	0	265	4	924	0	3284
Chettri	Secondary	Himalayan	50000-ABOVE	1	1	1	135	1	171
Muslim-Others	Illiterate	Himalayan	50000-ABOVE	0	0	0	4	0	8
Chepang-Thami	Illiterate	Hilly	20000-30000	0	0	0	0	0	43
Madhesi	University	Himalayan	30000-50000	0	0	0	2	0	2
Newar	Primary	Himalayan	50000-ABOVE	0	1	0	57	0	52
Dalit	Primary	Hilly	50000-ABOVE	0	0	0	16	0	29
Gurung-Magar	Secondary	Hilly	30000-50000	0	5	0	127	0	133
Chettri	Illiterate	Hilly	0-10000	1	88	4	357	9	12796
Chepang-Thami	University	Himalayan	50000-ABOVE	0	0	0	0	0	0
Madhesi	University	Himalayan	50000-ABOVE	0	0	0	1	0	0
Chettri	NonFormal-Other	Hilly	50000-ABOVE	0	2	0	47	0	71
Tamang	Secondary	Himalayan	50000-ABOVE	0	0	0	97	2	111
Muslim-Others	Secondary	Himalayan	50000-ABOVE	0	0	0	5	0	3
Gurung-Magar	Secondary	Hilly	0-10000	1	32	0	331	1	2688
Brahman	Primary	Himalayan	30000-50000	0	4	0	63	1	153
Newar	Secondary	Hilly	30000-50000	0	16	1	596	0	145
Madhesi	NonFormal-Other	Hilly	20000-30000	0	0	0	27	0	21
Rai-Limbu	University	Himalayan	10000-20000	0	0	0	12	0	74
Muslim-Others	Illiterate	Hilly	10000-20000	0	3	0	65	0	253
Madhesi	Illiterate	Himalayan	0-10000	0	0	0	6	0	240
Brahman	University	Himalayan	50000-ABOVE	0	0	0	61	0	49
Gurung-Magar	University	Hilly	30000-50000	0	0	0	13	0	12
Gurung-Magar	Secondary	Hilly	20000-30000	0	25	0	407	0	467
Dalit	Illiterate	Hilly	0-10000	2	150	4	191	10	16560
Tamang	NonFormal-Other	Hilly	20000-30000	0	29	0	352	1	1598
Gurung-Magar	NonFormal-Other	Hilly	50000-ABOVE	0	1	0	19	0	56
Chepang-Thami	Illiterate	Himalayan	50000-ABOVE	0	0	0	0	0	10
Chepang-Thami	NonFormal-Other	Himalayan	0-10000	0	1	0	2	0	1101
Madhesi	Illiterate	Hilly	20000-30000	0	0	0	34	0	40
Dalit	Illiterate	Himalayan	0-10000	1	74	2	105	3	8369
Madhesi	University	Himalayan	50000-ABOVE	0	0	0	1	0	0
Dalit	Illiterate	Hilly	0-10000	2	150	4	191	10	16560
Tamang	University	Hilly	20000-30000	0	5	0	57	0	82
Tamang	Illiterate	Himalayan	50000-ABOVE	0	0	0	44	1	202
Gurung-Magar	Secondary	Himalayan	10000-20000	1	4	2	196	2	1448
Tamang	University	Hilly	30000-50000	0	0	0	36	0	27
Muslim-Others	University	Himalayan	50000-ABOVE	0	0	0	0	0	0
Dalit	NonFormal-Other	Himalayan	50000-ABOVE	0	0	0	6	0	21
Rai-Limbu	Secondary	Hilly	0-10000	0	16	0	79	0	1197
Chepang-Thami	NonFormal-Other	Himalayan	0-10000	0	1	0	2	0	1101
Rai-Limbu	NonFormal-Other	Hilly	10000-20000	0	31	0	71	0	795
Chepang-Thami	Secondary	Himalayan	30000-50000	0	0	0	1	0	2
Madhesi	Primary	Hilly	0-10000	0	5	1	41	1	157
Brahman	University	Hilly	0-10000	0	13	0	108	0	398
Madhesi	University	Hilly	20000-30000	0	0	0	68	4	17
Madhesi	Secondary	Himalayan	30000-50000	0	0	1	1	0	5
Madhesi	Secondary	Himalayan	20000-30000	0	0	0	13	0	22
Rai-Limbu	University	Hilly	10000-20000	0	2	0	15	0	50
Brahman	NonFormal-Other	Himalayan	30000-50000	0	3	0	70	0	241
Gurung-Magar	Secondary	Hilly	20000-30000	0	25	0	407	0	467
Dalit	Secondary	Hilly	0-10000	2	26	0	147	1	2067
Tamang	University	Himalayan	20000-30000	0	0	0	50	0	94
Madhesi	Secondary	Himalayan	20000-30000	0	0	0	13	0	22
Dalit	Illiterate	Himalayan	30000-50000	0	0	0	8	0	119
Rai-Limbu	Primary	Himalayan	0-10000	0	3	0	49	1	1936
Chepang-Thami	Illiterate	Hilly	10000-20000	0	0	0	11	0	296
Tamang	NonFormal-Other	Hilly	0-10000	2	107	6	291	3	13880
Brahman	NonFormal-Other	Himalayan	50000-ABOVE	0	0	0	35	0	94
Tamang	Illiterate	Himalayan	30000-50000	1	1	0	75	0	710
Gurung-Magar	Secondary	Hilly	0-10000	1	32	0	331	1	2688
Newar	University	Hilly	30000-50000	0	4	0	137	0	35
Rai-Limbu	University	Himalayan	0-10000	0	0	0	3	0	34
Tamang	Illiterate	Himalayan	0-10000	3	17	4	266	22	30511
Chepang-Thami	Secondary	Himalayan	30000-50000	0	0	0	1	0	2
Muslim-Others	NonFormal-Other	Hilly	0-10000	0	4	0	32	0	665
Tamang	Secondary	Himalayan	50000-ABOVE	0	0	0	97	2	111
Muslim-Others	Primary	Hilly	30000-50000	0	1	0	21	0	19
Gurung-Magar	Illiterate	Himalayan	30000-50000	0	1	0	27	0	347
Dalit	University	Hilly	0-10000	0	1	0	11	0	33
Chepang-Thami	Primary	Hilly	50000-ABOVE	0	0	0	1	0	1
Chepang-Thami	Secondary	Hilly	50000-ABOVE	0	0	0	0	0	3
Chepang-Thami	Illiterate	Himalayan	20000-30000	0	0	0	2	0	89
Brahman	University	Himalayan	30000-50000	1	2	0	134	1	158
Tamang	Primary	Himalayan	50000-ABOVE	0	1	0	67	0	110
Chepang-Thami	Primary	Hilly	30000-50000	0	0	0	2	0	7
Muslim-Others	Secondary	Hilly	10000-20000	0	3	0	130	0	284
Newar	NonFormal-Other	Himalayan	20000-30000	1	7	0	172	1	490
Madhesi	Secondary	Himalayan	20000-30000	0	0	0	13	0	22
Dalit	Primary	Hilly	20000-30000	0	24	0	228	1	807
Dalit	Illiterate	Hilly	20000-30000	0	25	1	114	0	992
Newar	Secondary	Hilly	20000-30000	2	51	1	1550	2	612
Muslim-Others	NonFormal-Other	Hilly	50000-ABOVE	0	0	0	5	0	2
Rai-Limbu	Primary	Hilly	10000-20000	0	22	2	124	1	740
Muslim-Others	Secondary	Hilly	50000-ABOVE	0	0	0	17	0	5
Chepang-Thami	Illiterate	Himalayan	10000-20000	0	0	0	3	0	388
Brahman	University	Himalayan	10000-20000	2	5	3	208	6	809
Dalit	Secondary	Hilly	20000-30000	0	10	1	179	1	348
